WKT,highway,name,oneway,lanes,maxspeed,service,ref,turn:lanes,surface,foot,bicycle,horse,maxspeed:type,access,segregated,lanes:backward,lanes:forward,junction,crossing,crossing_ref,cycleway,route,route_name,route_pref_color,lit,turn:lanes:backward,turn:lanes:forward
"LINESTRING (-1.69145 53.8017987,-1.6913722 53.8017399)",residential,Galloway Court,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.6907827 53.8020951,-1.6912243 53.8018963,-1.6912321 53.8018093,-1.6913722 53.8017399,-1.6915887 53.8016041,-1.6919856 53.8014125,-1.6922085 53.8015469)",residential,Galloway Court,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.6917317 53.8011555,-1.691433 53.8009524)",residential,Chatsworth Drive,,,20 mph,,,,asphalt,,,,sign,,,,,,,,,,,,,,
"LINESTRING (-1.6925402 53.8042586,-1.692377 53.8042881)",trunk,Bradford Road,yes,3,40 mph,,A647,through|through|through,asphalt,no,yes,yes,,,,,,,,,,,,,,,
"LINESTRING (-1.6925402 53.8042586,-1.6924749 53.8041916,-1.6924629 53.8041519)",trunk,Bradford Road,yes,2,40 mph,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.6924629 53.8041519,-1.6924628 53.8041132,-1.6924671 53.8040937,-1.6924783 53.804066,-1.6924965 53.8040378)",trunk,Bradford Road,yes,2,40 mph,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.6924965 53.8040378,-1.6925008 53.8039539,-1.6924856 53.8038674,-1.6924238 53.8037172)",secondary,Galloway Lane,yes,2,,,B6154,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.6924852 53.8023032,-1.6922493 53.8023414)",residential,Moorland Drive,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.683463 53.8058294,-1.6834383 53.8057267,-1.6833868 53.8056424,-1.6833027 53.8055478,-1.6829091 53.805199,-1.682403 53.8047506,-1.6820198 53.8044042,-1.6815465 53.8040358,-1.6809154 53.8036856,-1.6805739 53.8034933,-1.6804284 53.8034113,-1.679587 53.8030144,-1.6784752 53.8026299,-1.6772354 53.8023047,-1.6757259 53.8019817,-1.6740757 53.8017178,-1.6724827 53.801542,-1.6711742 53.8014516,-1.6703598 53.8014127,-1.6699795 53.8014101,-1.6689898 53.8013975,-1.66699 53.8014201,-1.6665541 53.801428,-1.6658441 53.8014519,-1.665526 53.8014579,-1.6641335 53.8015156,-1.6616259 53.8016974,-1.660365 53.8018265,-1.659964 53.8018676,-1.6583921 53.8020513,-1.6552699 53.8025461,-1.6521264 53.8031044,-1.6495247 53.8036339,-1.647364 53.8041211,-1.6459749 53.8044514,-1.6445992 53.8047861,-1.6439844 53.8049068,-1.6435398 53.8049655,-1.6430172 53.8050068,-1.6421601 53.804997,-1.6412467 53.804912,-1.6405991 53.804778,-1.6399026 53.8045771,-1.6394162 53.8043959,-1.6389915 53.8041798,-1.6383389 53.8038176,-1.6377952 53.8034246,-1.6365535 53.8025803,-1.6358723 53.8021775,-1.6354811 53.8019794,-1.634992 53.8018003,-1.634462 53.8016417,-1.6338376 53.8015612,-1.6332645 53.8015015,-1.6327055 53.8015104,-1.6317638 53.8015398,-1.6312864 53.8015199,-1.6309044 53.8014182,-1.6306126 53.8012713,-1.6303858 53.8011058,-1.630226 53.8008684,-1.6301699 53.8006981,-1.6300598 53.800488,-1.6299684 53.800302,-1.6298522 53.8001115,-1.6296849 53.7999772,-1.629485 53.7998504,-1.6289039 53.7995253,-1.6284499 53.7992248,-1.6280241 53.7988734,-1.6277273 53.7985758,-1.6277059 53.7985543,-1.6275144 53.7984081)",,Leeds Outer Ring Road,,,,,,,,,,,,,,,,,,,,road,Leeds Outer Ring Road,0,,,
"LINESTRING (-1.6280181 53.7982486,-1.6279245 53.7984094,-1.6279215 53.7985319,-1.6279851 53.798644,-1.6281414 53.7987836,-1.6285243 53.7991185,-1.6288943 53.7993529,-1.6290401 53.7994453,-1.6294135 53.7996587,-1.6295394 53.7997305,-1.6297766 53.7998767,-1.6301538 53.8001091,-1.6307265 53.80042,-1.6311583 53.800648,-1.6314303 53.8007687,-1.6318946 53.8009182,-1.6323184 53.8010297,-1.6329927 53.8011859,-1.6338102 53.8013537,-1.6342218 53.8014415,-1.6349883 53.8016567,-1.6353588 53.8017984,-1.6357019 53.8019391,-1.6359053 53.802028,-1.6359812 53.802061,-1.6372012 53.8028527,-1.6382889 53.8036056,-1.6391693 53.8041309,-1.639617 53.8043392,-1.6401012 53.8045176,-1.6406799 53.8046746,-1.6412903 53.8048091,-1.6417955 53.8048621,-1.6423006 53.8048961,-1.6429226 53.8048863,-1.6435178 53.804857,-1.6440172 53.8047853,-1.6445688 53.8046765,-1.6459141 53.8043478,-1.6473069 53.8040085,-1.6494925 53.8035187,-1.6520815 53.8029862,-1.6552943 53.8024235,-1.6575863 53.8020574,-1.6596988 53.8017941,-1.661802 53.8015745,-1.6646624 53.80138,-1.6665149 53.8013256,-1.6675521 53.8013135,-1.6679904 53.8012999,-1.6681588 53.8012964,-1.6692347 53.8012817,-1.6701601 53.8012985,-1.670408 53.8013094,-1.6709738 53.8013336,-1.6713818 53.8013527,-1.6725117 53.8014391,-1.6744641 53.8016631,-1.6751242 53.8017537,-1.6761193 53.8019351,-1.6773306 53.8021822,-1.678523 53.8024935,-1.6797449 53.8029433,-1.6807102 53.8034053,-1.6807514 53.803425,-1.6816342 53.8039685,-1.6822365 53.8044116,-1.6825846 53.8047103,-1.682723 53.8048331,-1.6834263 53.8054569,-1.6835445 53.8055933,-1.6836045 53.8056229,-1.6836973 53.8056678,-1.6838828 53.805723)",,Leeds Outer Ring Road,,,,,,,,,,,,,,,,,,,,road,Leeds Outer Ring Road,0,,,
