WKT,highway,name,oneway,lanes,maxspeed,service,ref,turn:lanes,surface,foot,bicycle,horse,maxspeed:type,access,segregated,lanes:backward,lanes:forward,junction,crossing,crossing_ref,cycleway,route,route_name,route_pref_color,lit,turn:lanes:backward,turn:lanes:forward
"LINESTRING (-1.7106343 53.8019452,-1.7104101 53.8014864)",service,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.7100642 53.8007219,-1.7091976 53.8008952,-1.7088467 53.8009653,-1.7084269 53.8010493,-1.7080566 53.8011233,-1.7072915 53.8012763)",secondary,Leeds Old Road,,2,30 mph,,B6381,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.7109863 53.8015694,-1.7111372 53.8018535,-1.7113075 53.8021742,-1.7113385 53.8022739,-1.7114416 53.8026051,-1.7114915 53.802707,-1.7116397 53.8029919)",service,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.7111372 53.8018535,-1.712005 53.8016925,-1.7123461 53.8020827,-1.7123865 53.8021288,-1.712539 53.8022972,-1.712515 53.8025295,-1.7114915 53.802707)",service,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.6955366 53.8002834,-1.6947635 53.7993419)",residential,Chatsworth Rise,,,,,,,asphalt,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.6953182 53.7980287,-1.6958913 53.7990026,-1.6962826 53.799641)",residential,Peckover Drive,,,,,,,asphalt,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.6966183 53.800191,-1.6964405 53.8000457,-1.6963626 53.7999554,-1.6963212 53.7998582,-1.6963008 53.7997612,-1.6962826 53.799641)",residential,Peckover Drive,yes,,20 mph,,,,asphalt,,,,sign,,,,,,,,,,,,yes,,
"LINESTRING (-1.6962826 53.799641,-1.6964533 53.79979,-1.6965368 53.7998785,-1.6965842 53.7999748,-1.6966164 53.8001036,-1.6966183 53.800191)",residential,Peckover Drive,yes,,20 mph,,,,asphalt,,,,sign,,,,,,,,,,,,yes,,
"LINESTRING (-1.6996992 53.8025911,-1.6995936 53.8019732,-1.6993495 53.8014903,-1.6992139 53.801218,-1.6986867 53.8003098,-1.6985472 53.8000853,-1.6975386 53.798427,-1.697376 53.7981757,-1.6970481 53.7976423,-1.6965745 53.7969079,-1.6962517 53.7964522,-1.6962277 53.7964219,-1.6961989 53.796387,-1.696164 53.7963464)",residential,Daleside Road,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.6985472 53.8000853,-1.6979573 53.8002081,-1.6978903 53.800216,-1.6978232 53.8002137,-1.6977642 53.8001962,-1.6977146 53.8001638,-1.6976822 53.8001262,-1.6968246 53.7986949,-1.6968208 53.7986647,-1.6968322 53.7986255,-1.6968587 53.7985885,-1.6969137 53.798556,-1.6975386 53.798427)",residential,Daleside Avenue,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.7003316 53.8000883,-1.70065 53.7992491)",service,,,2,,parking_aisle,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.7005971 53.8000268,-1.7008732 53.7993199)",service,,,2,,parking_aisle,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.70076 53.8002043,-1.7009432 53.7998045)",service,,,2,,parking_aisle,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.701527 53.7991285,-1.7014253 53.7992894)",service,,,,,parking_aisle,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.7011554 53.799187,-1.701235 53.7990872,-1.7012669 53.7990678)",living_street,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.7017278 53.7984171,-1.7014769 53.7987734,-1.7014362 53.7987896,-1.7013964 53.7988042,-1.7013778 53.7988272,-1.7012858 53.7989579,-1.7012359 53.7989477)",path,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.7038356 53.7999879,-1.703693 53.8001024,-1.703664 53.8001257,-1.7034813 53.8004012,-1.7034079 53.8005006,-1.7032067 53.800785,-1.7028887 53.8007893,-1.7026445 53.8007926,-1.702413 53.8007957,-1.7023772 53.8007924,-1.7021705 53.8007733,-1.7021305 53.8007631,-1.7019012 53.8007045,-1.7017193 53.800658,-1.7016812 53.8006484,-1.7014601 53.8005929,-1.7012583 53.8005423,-1.7012284 53.8005303,-1.7010523 53.8004597,-1.7010274 53.800444,-1.7009205 53.8003765,-1.7008613 53.8003102,-1.70076 53.8002043,-1.7007293 53.8001714,-1.7006612 53.8000548,-1.7005971 53.8000268,-1.7004044 53.8000724,-1.7003316 53.8000883,-1.7002693 53.8001018,-1.7001317 53.8001191,-1.7000787 53.8000969,-1.7003517 53.7993082,-1.7004202 53.7992388,-1.7005773 53.799226,-1.70065 53.7992491,-1.7008732 53.7993199,-1.7010585 53.7993787,-1.7010875 53.7994247,-1.7010677 53.7994988,-1.7009573 53.7997547,-1.7009432 53.7998045,-1.7011067 53.7998428,-1.701159 53.7998532,-1.7013925 53.7998994,-1.701618 53.799944,-1.7016382 53.799948,-1.7017623 53.7999836,-1.7018334 53.8000255,-1.7018827 53.8000546,-1.701988 53.8001768,-1.7020745 53.8002435,-1.7021821 53.8002664,-1.7024049 53.800314,-1.7026296 53.8003619,-1.702865 53.8004122,-1.7030992 53.8004621,-1.7031521 53.8004734,-1.7034079 53.8005006)",service,,,2,,parking_aisle,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.7033729 53.7995879,-1.7032522 53.7995586,-1.7024346 53.7993602,-1.7021362 53.7992878)",service,,,,,parking_aisle,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.7018135 53.7991753,-1.7015403 53.799108)",service,,,,,parking_aisle,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.7018813 53.7985556,-1.701742 53.7987559,-1.7017402 53.7987851,-1.701581 53.7990025,-1.7015854 53.7990381,-1.7015403 53.799108,-1.701527 53.7991285,-1.7012669 53.7990678,-1.7012297 53.7990323,-1.7012173 53.7989874,-1.7012359 53.7989477)",living_street,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.7020231 53.79945,-1.7021362 53.7992878,-1.7022296 53.7991539,-1.7023197 53.7990248,-1.7024088 53.798897,-1.702707 53.7989696,-1.7026176 53.7990978,-1.7025275 53.799227,-1.7024346 53.7993602)",service,,,,,parking_aisle,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.7025275 53.799227,-1.7022296 53.7991539)",service,,,,,parking_aisle,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.7026176 53.7990978,-1.7023197 53.7990248)",service,,,,,parking_aisle,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.7031867 53.798762,-1.7029814 53.7987138,-1.7025682 53.7986167,-1.702486 53.7987387,-1.7031046 53.798884,-1.7031867 53.798762)",service,,,,,parking_aisle,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.7010979 53.7984961,-1.7012244 53.7983002,-1.7017278 53.7984171,-1.7018598 53.7984477)",living_street,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.7023073 53.7986563,-1.7018813 53.7985556)",service,,,,,parking_aisle,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.7018813 53.7985556,-1.7019353 53.7984789,-1.7018598 53.7984477,-1.7020765 53.7981617,-1.7022649 53.7979074,-1.7023086 53.7978483)",residential,Carrick Drive,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.7004202 53.7992388,-1.7003465 53.799175,-1.7003951 53.7990825,-1.7004681 53.7989299,-1.7005187 53.7987672,-1.7006086 53.7986909,-1.7006817 53.7985449,-1.7007322 53.7983491,-1.7007716 53.7982761,-1.7010694 53.7980139,-1.7012211 53.7978745,-1.7013841 53.7976388,-1.7014908 53.7974497,-1.7015751 53.7972406,-1.7016594 53.7970746,-1.7018055 53.796912,-1.7019853 53.7967062,-1.7021707 53.7965868,-1.7024461 53.7964706,-1.7027351 53.7963677,-1.7028563 53.7963246,-1.7032103 53.7962183)",track,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.7022649 53.7979074,-1.7018056 53.7978077,-1.7017153 53.7978101,-1.7015881 53.7977762,-1.7015634 53.7977349,-1.7016537 53.7975895,-1.7017605 53.7975749,-1.7018918 53.7975992,-1.701937 53.7976307,-1.7023826 53.7977413)",living_street,Hutton Close,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.7030207 53.7968185,-1.7029894 53.7968638,-1.7027463 53.7972152,-1.7026115 53.7974102,-1.7023826 53.7977413,-1.7023086 53.7978483)",residential,Leng Drive,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.7037836 53.7998993,-1.7036581 53.7998796,-1.7035462 53.7998762,-1.7034362 53.7998617,-1.7023608 53.7996052,-1.7023179 53.7996054,-1.702285 53.7996186,-1.7021332 53.7998348)",service,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.7034361 53.799297,-1.7032522 53.7995586)",service,,,,,parking_aisle,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.7039221 53.7998676,-1.7039551 53.7998793,-1.7039793 53.799897,-1.7039918 53.7999184,-1.7039912 53.7999411,-1.70398 53.7999596,-1.7039562 53.7999775,-1.7039236 53.7999894,-1.7038859 53.799994,-1.7038356 53.7999879,-1.7038041 53.7999749,-1.7037821 53.7999562,-1.7037722 53.7999343,-1.7037726 53.799921,-1.7037836 53.7998993,-1.7038066 53.7998811,-1.7038388 53.7998686,-1.7038762 53.7998634,-1.7039026 53.7998658,-1.7039221 53.7998676)",service,,,1,,,,,,,,,,,,,,roundabout,,,,,,,,,
"LINESTRING (-1.7041295 53.7994573,-1.7038305 53.7993883)",service,,,,,parking_aisle,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.7043023 53.7991958,-1.7042119 53.7993326,-1.7041295 53.7994573,-1.7040271 53.7996122,-1.7038542 53.7995724)",service,,,,,parking_aisle,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.7036142 53.7993378,-1.7034361 53.799297)",service,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.7032384 53.7989385,-1.7031379 53.7990898,-1.703136 53.7991895,-1.7032233 53.7992488,-1.7034361 53.799297)",service,,,,,parking_aisle,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.7035286 53.7987594,-1.7033878 53.7987942,-1.7033073 53.7987942,-1.7031867 53.798762)",service,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.7035603 53.7982456,-1.7034512 53.7983862,-1.7034136 53.798484,-1.7034211 53.7985751,-1.7034625 53.7986684,-1.7035286 53.7987594,-1.7036468 53.7989016,-1.703707 53.7990038,-1.7037108 53.7991194,-1.7036714 53.799208,-1.7036142 53.7993378,-1.7036017 53.799366,-1.703613 53.7994748,-1.7036694 53.7995859,-1.7037785 53.7996659,-1.7038796 53.7997355,-1.7039026 53.7997862,-1.7039021 53.7998281,-1.7039026 53.7998658)",service,,,2,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.7036714 53.799208,-1.7042119 53.7993326)",service,,,,,parking_aisle,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.703707 53.7990038,-1.7040706 53.7989137)",service,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.7042514 53.7987768,-1.70416 53.7987595,-1.7040778 53.798744)",service,,,,,parking_aisle,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.7039918 53.7999184,-1.7043334 53.8000044,-1.7044396 53.8000211,-1.7044565 53.8000207,-1.7045192 53.800019,-1.7045691 53.8000115,-1.7047068 53.7999908)",service,,yes,1,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.7044742 53.7999745,-1.7045288 53.7999721,-1.7045761 53.7999637,-1.7046258 53.7999479)",cycleway,,yes,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.7047068 53.7999908,-1.704797 53.7999224,-1.7048659 53.7998683,-1.7049624 53.7998145,-1.7050931 53.7997668,-1.7052736 53.7997606,-1.7056055 53.7998128)",trunk,Gipsy Street,yes,2,30 mph,,A647,right|right,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.7047068 53.7999908,-1.704943 53.799629,-1.7050153 53.7995206,-1.7052144 53.7992219)",tertiary,Dick Lane,yes,1,30 mph,,,through,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.7052144 53.7992219,-1.7051825 53.7994053,-1.7051984 53.7994673,-1.7052138 53.799513,-1.7052374 53.7995827,-1.7053785 53.7996814,-1.7055144 53.7997547,-1.7056055 53.7998128)",tertiary,Gipsy Street,yes,2,30 mph,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.703993 53.7991245,-1.7043023 53.7991958,-1.7048115 53.7993132)",service,,,,,parking_aisle,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.7048069 53.7987939,-1.7046533 53.7990393,-1.7040706 53.7989137,-1.70416 53.7987595)",service,,,,,parking_aisle,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.7042514 53.7987768,-1.7043898 53.7985674,-1.7046078 53.7986177,-1.7044701 53.7988256,-1.7042514 53.7987768)",service,,yes,,,parking_aisle,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.7052144 53.7992219,-1.705322 53.7990617,-1.705399 53.7989534)",tertiary,Dick Lane,,,30 mph,,,,,,,,,,,2,3,,,,,,,,,,left|through|through
"LINESTRING (-1.705399 53.7989534,-1.7054 53.7988024,-1.7053287 53.7986906,-1.7052554 53.7986376,-1.7051012 53.7985262)",service,,yes,1,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.705399 53.7989534,-1.7054913 53.7988136,-1.7055794 53.7986696,-1.7057457 53.7984466)",tertiary,Dick Lane,,,30 mph,,,,,,,,,,,2,2,,,,,,,,,,
"LINESTRING (-1.7032622 53.7982864,-1.7030558 53.7986006,-1.7029814 53.7987138)",service,,,,,parking_aisle,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.7037702 53.7981874,-1.7037368 53.7982173,-1.7037001 53.7982348,-1.7036292 53.7982491,-1.7035603 53.7982456,-1.7035092 53.798231,-1.7034662 53.7982056,-1.7034458 53.7981827,-1.7034354 53.7981367,-1.7034646 53.7980886,-1.7035137 53.79806,-1.7035816 53.7980444,-1.7036423 53.7980449,-1.7036885 53.7980542,-1.70375 53.7980848,-1.7037817 53.798128,-1.703782 53.7981639,-1.7037702 53.7981874)",unclassified,Mid Point,,,,,,,,,,,,,,,,roundabout,,,,,,,,,
"LINESTRING (-1.7036885 53.7980542,-1.7037637 53.7979273)",service,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.7043385 53.7981208,-1.7041994 53.7980936,-1.7040285 53.798031,-1.7039273 53.7979692,-1.7037637 53.7979273)",service,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.7034646 53.7980886,-1.7031997 53.7980506,-1.702787 53.7979592,-1.7027585 53.7979529,-1.7024189 53.7978723,-1.7023086 53.7978483)",unclassified,Chapman Road,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.7032533 53.7979951,-1.7033551 53.7978587,-1.7029472 53.79775,-1.702787 53.7979592)",service,,,,,parking_aisle,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.7029572 53.797488,-1.7028433 53.7976547)",service,,,,,parking_aisle,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.7028768 53.7974733,-1.7029572 53.797488,-1.7030496 53.7974852,-1.7031682 53.797498,-1.7034041 53.7975521)",living_street,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.7037338 53.7971037,-1.7036321 53.797242,-1.7034041 53.7975521,-1.7033639 53.7976068)",living_street,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.7048248 53.7984559,-1.7047411 53.7984346,-1.7037702 53.7981874)",service,Mid Point,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.7051012 53.7985262,-1.7048248 53.7984559)",unclassified,Mid Point,,,,,,,,,,,,,,2,1,,,,,,,,,"left;right|right",
"LINESTRING (-1.7055794 53.7986696,-1.7052899 53.7985828,-1.7051012 53.7985262)",service,Mid Point,,,,,,,,,,,,,,2,1,,,,,,,,,right|right,
"LINESTRING (-1.7051012 53.7985262,-1.7053471 53.7985322,-1.7054401 53.7985345,-1.7056039 53.7985131,-1.7057457 53.7984466)",service,,yes,1,,,,left,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.7047411 53.7984346,-1.7048461 53.7982675,-1.7049163 53.7982462,-1.7052729 53.7983302,-1.7053525 53.7983213,-1.7056598 53.7978642)",service,,,,,parking_aisle,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.7037637 53.7979273,-1.7041575 53.7973715,-1.7043149 53.7972204,-1.7044192 53.7971201,-1.704496 53.7971201,-1.7052112 53.7973633,-1.7052461 53.7974024,-1.7051589 53.7975055,-1.7050228 53.7976436,-1.7047856 53.7980207,-1.7046704 53.7981773,-1.7046041 53.7981814,-1.7043385 53.7981208)",service,,yes,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.7041575 53.7973715,-1.7043149 53.7973996,-1.7050228 53.7976436)",service,,yes,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.7043149 53.7972204,-1.7051589 53.7975055)",service,,yes,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.7051589 53.7975055,-1.7058463 53.7977143,-1.705951 53.7975943)",service,,,,,parking_aisle,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.7067356 53.799848,-1.706269 53.8001131,-1.7061887 53.8001587)",residential,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.7066486 53.799081,-1.7054913 53.7988136)",residential,,,2,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.7072973 53.7986177,-1.7066486 53.799081,-1.7056016 53.7997029,-1.7055144 53.7997547)",residential,Maple Avenue,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.707138 53.8006943,-1.7071835 53.8006657,-1.7077451 53.800313,-1.7077938 53.800154,-1.7078485 53.7995739,-1.7077627 53.7994662,-1.7066486 53.799081)",residential,Linden Avenue,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.7063679 53.7982812,-1.7059489 53.7981808)",residential,Barberry Avenue,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.709534 53.7932144,-1.708999 53.7936929,-1.7087898 53.7939068,-1.708594 53.7941635,-1.7082963 53.7945754,-1.7078242 53.7952694,-1.7072878 53.7960837,-1.706923 53.7966398,-1.7065314 53.7972243,-1.706172 53.7977471,-1.7060298 53.7979498,-1.7058716 53.7981209,-1.7056356 53.7983538,-1.7055846 53.7983982,-1.7054532 53.7984726,-1.7053471 53.7985322,-1.7052899 53.7985828,-1.7052554 53.7986376,-1.7052252 53.7986928,-1.7052788 53.7987752,-1.70526 53.7988306,-1.7051796 53.7990207,-1.7051045 53.7992203,-1.7050213 53.7994041,-1.7049516 53.799515,-1.7046941 53.7998714,-1.7046258 53.7999479,-1.7045691 53.8000115,-1.7045664 53.8000427,-1.7045189 53.8001068,-1.7044844 53.8001535,-1.7044184 53.8001612,-1.7043807 53.8001794,-1.7043875 53.8002233,-1.7043843 53.8002557,-1.7043403 53.8003266,-1.704196 53.8005551,-1.7041537 53.8006589,-1.7041072 53.8008068,-1.703998 53.8009892,-1.7039514 53.8010536,-1.7039293 53.8010729,-1.7038901 53.8010899,-1.7038586 53.8011361,-1.7038471 53.8011603,-1.7038725 53.8011911,-1.7037483 53.8013693,-1.7036718 53.8015315,-1.7036256 53.8016129,-1.7035553 53.8017044,-1.7036687 53.8016959,-1.7038234 53.8016777,-1.7039081 53.8016662,-1.7039304 53.8017014,-1.7039504 53.8017243,-1.7040557 53.8017644,-1.704214 53.8017866,-1.7047531 53.8016868,-1.7049342 53.8016659,-1.7063356 53.8014128,-1.7066172 53.8013098,-1.7068023 53.8011245,-1.7068533 53.8010262,-1.706943 53.8010393,-1.707237 53.8010881,-1.7075453 53.8011213,-1.7077062 53.8010896,-1.7084035 53.8009661,-1.7087107 53.800942,-1.7095784 53.8007696,-1.7100321 53.8006534,-1.7107671 53.800516,-1.7111716 53.8004449,-1.7113996 53.8004069)",cycleway,,,,,,,,asphalt,yes,yes,,,,yes,,,,,,,,,,yes,,
"LINESTRING (-1.7043149 53.7972204,-1.7038065 53.7970299)",path,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.7057457 53.7984466,-1.7059489 53.7981808,-1.7062038 53.7978,-1.7064379 53.7974503,-1.7066225 53.7971747,-1.7070077 53.796627,-1.7075828 53.7957772,-1.7085431 53.7943748,-1.7087683 53.7940188,-1.7089805 53.7938036,-1.7095821 53.7932668)",tertiary,Dick Lane,,,30 mph,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.7191854 53.7931026,-1.7186148 53.7932695,-1.7182418 53.7933787,-1.7179058 53.7934739,-1.7173825 53.7936221,-1.7172344 53.7936641,-1.7167647 53.7938659,-1.7161797 53.7941172,-1.7161183 53.7941483,-1.7157979 53.7943109,-1.715473 53.7944757,-1.715075 53.7946444,-1.7142097 53.7951886,-1.7141301 53.7952413,-1.713962 53.7953608,-1.7135677 53.7956741,-1.7132103 53.7959869,-1.7124928 53.7967061,-1.7124653 53.7967361,-1.7120266 53.7971948,-1.712007 53.7972121,-1.7116107 53.7976022,-1.7115253 53.7976922,-1.711347 53.7978712,-1.7107985 53.7983925,-1.7106377 53.7985559,-1.7103653 53.7988329,-1.7102164 53.798986,-1.7097646 53.7994537,-1.7095963 53.7996297,-1.7090861 53.800132,-1.7088545 53.8003671,-1.708771 53.8004567)",trunk,Leeds Road,,,30 mph,,A647,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.6922363 53.8005422,-1.6924234 53.8006695,-1.6925979 53.8009154,-1.6926327 53.8009786)",residential,Chatsworth Avenue,,,20 mph,,,,asphalt,,,,sign,,,,,,,,,,,,,,
"LINESTRING (-1.6902288 53.8015705,-1.6910786 53.8011334,-1.691433 53.8009524,-1.6922363 53.8005422,-1.693123 53.8001012,-1.6940996 53.7996564,-1.6941622 53.7996279,-1.694398 53.7995067,-1.6947635 53.7993419,-1.695283 53.7991317,-1.6958913 53.7990026)",residential,Chatsworth Road,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.6993495 53.8014903,-1.6990354 53.8015391,-1.6985708 53.8016344)",residential,Duckett Grove,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.7022195 53.8015901,-1.7020838 53.8011528)",residential,Grange Grove,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.7037509 53.8015364,-1.7038253 53.8014381,-1.7040037 53.8011398,-1.7042782 53.8006728)",trunk,,yes,3,30 mph,,A647,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.7069688 53.8009844,-1.706943 53.8010393,-1.7069191 53.8010902)",trunk,Gipsy Street,yes,3,30 mph,,A647,left|slight_right|slight_right,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.7069191 53.8010902,-1.7070953 53.80122,-1.7072915 53.8012763)",secondary_link,Gipsy Street,yes,1,,,A647,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.7072915 53.8012763,-1.7070433 53.8013266,-1.7064179 53.8014455)",secondary,Leeds Old Road,yes,1,30 mph,,B6381,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.7049516 53.799515,-1.7050153 53.7995206,-1.7052138 53.799513,-1.7052842 53.7995071,-1.7053378 53.7995514,-1.7056016 53.7997029,-1.7058059 53.7998285,-1.706269 53.8001131,-1.7071835 53.8006657,-1.7073468 53.8007712,-1.7073088 53.8007908,-1.7072181 53.8008455,-1.7072299 53.800934,-1.707237 53.8010881)",cycleway,,yes,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.7080566 53.8011233,-1.7080822 53.8010688,-1.7083182 53.801015,-1.7084269 53.8010493)",service,,yes,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.7008613 53.8003102,-1.701159 53.7998532)",service,,,2,,parking_aisle,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.7010274 53.800444,-1.7013925 53.7998994)",service,,,2,,parking_aisle,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.7012284 53.8005303,-1.701618 53.799944,-1.7016815 53.7998813,-1.7017296 53.7998077,-1.7018219 53.7996662,-1.7013402 53.7995677,-1.7012548 53.7997077,-1.7017296 53.7998077)",service,,,2,,parking_aisle,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.7014601 53.8005929,-1.7018334 53.8000255)",service,,,2,,parking_aisle,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.7016812 53.8006484,-1.701988 53.8001768)",service,,,2,,parking_aisle,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.7019012 53.8007045,-1.7021821 53.8002664)",service,,,2,,parking_aisle,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.7021305 53.8007631,-1.7024049 53.800314)",service,,,2,,parking_aisle,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.7023772 53.8007924,-1.7026296 53.8003619)",service,,,2,,parking_aisle,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.7026445 53.8007926,-1.702865 53.8004122)",service,,,2,,parking_aisle,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.7030992 53.8004621,-1.7028887 53.8007893)",service,,,2,,parking_aisle,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.7032067 53.800785,-1.7034389 53.8007884,-1.703617 53.8007932,-1.7037408 53.8007855,-1.7038946 53.8005262,-1.7041454 53.8001522,-1.7040992 53.8001201,-1.7040066 53.8001086,-1.7038889 53.8001198,-1.7034389 53.8007884)",service,,,2,,parking_aisle,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.7041872 53.800049,-1.7040048 53.8000442,-1.7038245 53.8000588,-1.703693 53.8001024)",service,,yes,1,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.7043807 53.8001794,-1.7043574 53.8001566,-1.7043324 53.8001349,-1.7042977 53.800115,-1.7041872 53.800049)",cycleway,,yes,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.7044742 53.7999745,-1.7044565 53.8000207,-1.7044467 53.8000463,-1.7044383 53.8000681,-1.7044176 53.8000836,-1.7043629 53.8001155,-1.7043324 53.8001349)",cycleway,,,,,,,,,,,,,,,,,,traffic_signals,toucan,crossing,,,,,,
"LINESTRING (-1.7044943 53.8003053,-1.7044361 53.8001825,-1.7044184 53.8001612,-1.7043961 53.8001343,-1.7043629 53.8001155,-1.704316 53.8000888,-1.7041872 53.800049,-1.7039562 53.7999775)",service,,yes,1,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.7042782 53.8006728,-1.7043736 53.8005105,-1.7044943 53.8003053)",trunk,,yes,4,30 mph,,A647,left|through|right|right,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.7044943 53.8003053,-1.7046106 53.8001762,-1.7046455 53.8001275,-1.7047 53.8000505,-1.7047068 53.7999908)",trunk,,yes,3,30 mph,,A647,through|right|right,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.7047799 53.8001453,-1.7046455 53.8001275,-1.7045466 53.8001144,-1.7045189 53.8001068,-1.7044914 53.8000993,-1.7044383 53.8000681)",cycleway,,,,,,,,,,,,,,,,,,traffic_signals,toucan,crossing,,,,,,
